Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Bogor,26,3,30,71,,
Sukabumi,9,,10,48,,
Cianjur,5,,39,8,,
Bandung,11,,5,57,,
Garut,7,,33,34,,
Tasikmalaya,1,1,19,21,,
Ciamis,5,1,23,14,,
Kuningan,11,1,6,31,,
Cirebon,10,2,11,49,,
Majalengka,3,2,9,23,,
Sumedang,3,,17,18,,
Indramayu,11,1,10,39,,
Subang,9,1,25,15,,
Purwakarta,9,2,7,13,,
Karawang,23,2,31,19,,
Bekasi,49,4,11,35,,
Bandung Barat,6,3,6,26,,
Pangandaran,1,,11,4,,
Kota Bogor,17,5,,25,,
Kota Sukabumi,6,,,15,,
Kota Bandung,23,15,7,73,,
Kota Cirebon,9,1,,22,,
Kota Bekasi,43,3,,48,,
Kota Depok,22,4,,38,,
Kota Cimahi,7,1,,13,,
Kota Tasikmalaya,8,5,9,13,,
Kota Banjar,4,,2,8,,
Jawa Barat,338,57,321,780,,
,,,,,,
Catatan,,,,,,
Data sementara,,,,,,
